id_cliente,nome,email,sexo,data_nascimento,cidade,estado,data_cadastro,canal_aquisicao,tipo_cliente,score_credito
1,Thales Rocha,portobenicio@example.net,M,1957-10-18,Alves de Viana,SP,2024-11-27,Orgânico,PF,528
2,Lorena Melo,elisarocha@example.com,F,1952-06-19,Andrade,al,2024-04-05,Ads,PJ,858
3,Caleb Farias,manuellamendes@example.com,M,2007-03-05,da Cruz do Galho,pi,2023-11-20,Organico,PF,330
4,Maria Fernanda Cavalcanti,ralmeida@example.org,M,1992-10-04,Pastor de das Neves,GO,2025-06-29,ads,PJ,327
5,Liz Sales,lais41@example.org,F,1993-01-30,Silveira de Cunha,ms,2023-11-16,Social,pf,525
6,Sra. Manuela Nunes,waraujo@example.net,f,1982-10-15,da Paz,pr,2024-11-21,Orgânico,PF,463
7,Joaquim Correia,ana-julia50@example.com,f,1987-10-24,Moraes da Praia,Rio de Janeiro,2024-11-23,Orgânico,PF,520
8,Olívia Correia,zcostela@example.net,m,1974-10-10,Cirino,PE,2023-09-19,Ads,pf,399
9,Gustavo Henrique Azevedo,ana-vitoria03@example.com,m,2002-04-03,Cassiano,Pará,2026-01-17,Social,pf,344
10,Hadassa Farias,yalmeida@example.net,f,1944-03-25,Azevedo de Minas,ro,2024-06-24,Ads,pf,380
11,Rael Caldeira,frodrigues@example.org,m,1975-09-05,Monteiro,al,2023-12-01,Social,pf,891
12,Vitória Melo,leoleao@example.org,F,1978-08-18,Teixeira,rr,2023-04-10,Ads,PF,533
13,Eduarda Campos,wsiqueira@example.net,m,1946-04-27,Dias do Campo,PR,2025-08-18,ads,PF,689
14,Esther da Luz,matheus53@example.org,m,2002-07-02,Leão,Amapá,2024-01-04,Orgânico,PF,679
15,Renan da Conceição,ana-luiza00@example.net,m,1971-03-22,Almeida,RS,2023-10-29,Orgânico,PJ,373
16,Milena Pastor,theodoroda-luz@example.com,F,1960-06-14,Câmara do Galho,es,2024-06-18,ads,PF,773
17,Pedro Lucas Araújo,xfarias@example.net,f,1999-12-14,Fonseca,Minas Gerais,2024-09-09,Social,PF,632
18,Dr. Luiz Henrique Nascimento,montenegrobreno@example.org,M,1953-06-18,Novais da Praia,AM,2023-02-03,Ads,pf,710
19,Laura Nascimento,davi-miguel00@example.net,m,1946-10-28,Monteiro de Cassiano,RO,2026-01-28,ads,PJ,622
20,Camila Sales,malves@example.com,F,1950-03-29,Vargas do Campo,ac,2024-07-26,Organico,pf,769
21,Thomas Cavalcante,joaquim66@example.org,F,1985-09-17,Câmara,Paraná,2024-08-19,ads,PF,874
22,Lucas Gabriel Lopes,dante96@example.com,m,1968-06-03,Albuquerque de Novaes,sc,2023-03-06,Social,pf,897
23,Ravy Lima,gael-henriquecunha@example.com,f,1981-04-14,Correia do Oeste,Maranhão,2025-05-07,ads,PF,821
24,Dante Rodrigues,goncalvesmaria-clara@example.com,f,1996-03-31,da Mata,RN,2025-01-20,Ads,PF,456
25,Eduarda Cavalcanti,da-cruzantonio@example.com,F,1954-04-09,da Paz,ba,2024-08-03,Organico,PJ,365
26,Marcos Vinicius Oliveira,joao-lucas06@example.org,f,1977-12-14,Rodrigues,Roraima,2023-02-04,Social,pf,841
27,Gustavo Henrique Porto,livia58@example.net,m,1947-09-18,Gomes,se,2024-12-08,Ads,PJ,417
