id_venda,id_pedido,data_venda,data_envio,id_cliente,nome_cliente,email_cliente,cidade_cliente,estado_cliente,categoria_produto,produto,marca,quantidade,valor_unitario,valor_venda,desconto,frete,canal,forma_pagamento,parcelas,status_pagamento,transportadora,status_entrega
1,PED-21399,2024-12-14,2025-02-11,67,Sr. Caleb Sales,maria-vitoria63@example.net,Aragão de Leão,MS,eletronicos,Nobis,LG,5,124.24,502.89,30,5.39,Aplicativo,Boleto,3,aprovado,Correios,Atrasado
2,PED-62960,2024-11-12,2026-01-17,69,Dr. Vitor Hugo da Conceição,yuriribeiro@example.net,Sousa do Sul,AL,Eletrônicos,Autem,Genérica,1,1331.22,1175.06,0,42.1,Site,Crédito,1,Pendente,Jadlog,Atrasado
3,PED-58855,2024-06-22,2024-02-02,303,Eduardo Campos,zabreu@example.net,Rodrigues,AP,Roupas,Hic,LG,3,1191.49,3435.17,30,46.2,app,Pix,12,Pendente,Total Express,Entregue
4,PED-96232,2024-09-03,2025-11-21,221,Anthony Gabriel Peixoto,helenamartins@example.org,Vieira do Oeste,RO,Roupas,Debitis,Genérica,3,1648.7,1857.53,20,101.62,app,Boleto,6,Pendente,Total Express,Em trânsito
5,PED-71468,2025-11-14,2024-11-04,672,Maria Laura Campos,ravi-lucca94@example.com,Rios da Mata,AP,Casa,Beatae,Genérica,4,1090.6,2368.75,20,24.13,app,Crédito,12,Recusado,Jadlog,Entregue
6,PED-68739,2024-04-27,2024-07-15,459,Luna Costela,gabriellyda-luz@example.com,da Luz,RS,Casa,Impedit,LG,3,3402.6,2683.75,0,61.89,app,Débito,6,Recusado,Jadlog,Atrasado
7,PED-10803,2024-12-06,2025-02-10,153,Maria Alice Cavalcanti,bporto@example.net,Duarte de Minas,AM,Casa,Veniam,Adidas,5,1907.69,537.39,0,29.53,Aplicativo,Boleto,2,Aprovado,Jadlog,Atrasado
8,PED-92739,2025-04-24,2025-10-26,302,Stephany Martins,cirinohenrique@example.org,Sales Alegre,MA,Beleza,Nulla,Apple,1,443.45,2031.23,10,116.59,SITE,Boleto,1,Aprovado,Jadlog,Entregue
9,PED-57126,2025-11-17,2024-03-20,267,Sr. Otávio Leão,rodriguesluisa@example.org,Garcia do Amparo,AP,Roupas,Dolorum,Adidas,3,532.81,3467.51,0,62.29,Site,Débito,3,Pendente,Total Express,Entregue
10,PED-46551,2025-06-23,2025-01-27,86,Dra. Luara Moreira,danieljesus@example.net,Abreu do Sul,PI,Eletrônicos,Ea,Genérica,5,2543.39,2924.66,10,55.98,App,Crédito,1,Aprovado,Jadlog,Em trânsito
11,PED-67911,2024-10-24,2025-11-28,1047,Eloah da Cunha,duartedavi-luiz@example.net,Sá,BA,Eletrônicos,Sapiente,LG,2,1968.51,2677.31,0,23.75,Aplicativo,Débito,1,Recusado,Total Express,Entregue
12,PED-12798,2025-11-13,2024-11-21,735,Manuella das Neves,cecilia15@example.org,Nascimento,RR,Roupas,Tempora,Adidas,1,3059.05,3186.93,0,6.24,SITE,Crédito,1,aprovado,Correios,Entregue
13,PED-74993,2025-03-02,2026-01-25,258,Isabella Mendonça,martinsana@example.net,Dias,RJ,Roupas,Modi,Samsung,3,2147.84,815.44,0,94.93,Site,Débito,3,Recusado,Jadlog,Atrasado
14,PED-90033,2024-03-24,2025-07-03,261,Hadassa Gomes,josebarbosa@example.org,Rocha,SC,eletronicos,Cupiditate,Genérica,3,1555.96,623.07,0,82.84,SITE,Pix,3,Recusado,Correios,Em trânsito
15,PED-68414,2025-07-26,2024-09-02,545,Fernando Melo,satheodoro@example.org,Ramos,PB,Eletrônicos,Tempora,Apple,3,1635.14,3204.03,0,6.56,Site,Débito,12,Aprovado,Total Express,Entregue
16,PED-34617,2024-05-14,2024-08-10,136,Laura Sousa,ycosta@example.net,Pastor,PB,Casa,Nulla,Apple,2,3426.24,3315.5,0,15.03,SITE,Débito,2,Pendente,Total Express,Entregue
17,PED-75013,2025-02-20,2024-02-07,192,Vicente Cirino,ana-juliabarbosa@example.net,Viana,RS,eletronicos,Distinctio,Nike,4,612.18,804.8,10,32.03,Site,Crédito,3,Pendente,Correios,Entregue
18,PED-13151,2024-07-11,2025-11-11,1097,Esther Gonçalves,lsilveira@example.org,Siqueira,SE,Casa,Voluptatum,Apple,3,405.62,3395.34,0,115.44,Site,Débito,3,Recusado,Correios,Atrasado
